,nome,dnasc,sexo,pelagem,meses informados,medidas
0,Brasão do Cascavel,10-10-2014,M,preta,4,119.0
1,Brasão do Cascavel,10-10-2014,M,preta,5,124.0
2,Brasão do Cascavel,10-10-2014,M,preta,6,126.0
3,Brasão do Cascavel,10-10-2014,M,preta,7,129.0
4,Brasão do Cascavel,10-10-2014,M,preta,8,130.0
5,Brasão do Cascavel,10-10-2014,M,preta,9,130.0
6,Brasão do Cascavel,10-10-2014,M,preta,10,132.0
7,Brasão do Cascavel,10-10-2014,M,preta,11,133.0
8,Brasão do Cascavel,10-10-2014,M,preta,12,133.0
