,nome,dnasc,sexo,pelagem,meses informados,medidas
0,Éris Estrela Negra,30-12-2020,F,preta,2,109
1,Éris Estrela Negra,30-12-2020,F,preta,3,115
2,Éris Estrela Negra,30-12-2020,F,preta,4,120
