,nome,dnasc,sexo,pelagem,meses informados,medidas
0,Lula,8-7-1986,M,preta,0,32
1,Lula,8-7-1986,M,preta,1,40
2,Lula,8-7-1986,M,preta,2,50
3,Lula,8-7-1986,M,preta,3,60
4,Lula,8-7-1986,M,preta,4,150
5,Lula,8-7-1986,M,preta,5,180
6,Lula,8-7-1986,M,preta,6,190
7,Lula,8-7-1986,M,preta,7,200
8,Lula,8-7-1986,M,preta,48,234
