,nome,dnasc,sexo,pelagem,meses informados,medidas
0,Eslovênia da Pedra Montada,16-9-2014,F,preta,21,140.0
1,Eslovênia da Pedra Montada,16-9-2014,F,preta,22,141.0
2,Eslovênia da Pedra Montada,16-9-2014,F,preta,23,141.0
3,Eslovênia da Pedra Montada,16-9-2014,F,preta,24,143.0
4,Eslovênia da Pedra Montada,16-9-2014,F,preta,25,143.0
5,Eslovênia da Pedra Montada,16-9-2014,F,preta,26,143.0
6,Eslovênia da Pedra Montada,16-9-2014,F,preta,33,143.0
7,Eslovênia da Pedra Montada,16-9-2014,F,preta,36,143.0
8,Eslovênia da Pedra Montada,16-9-2014,F,preta,48,145.0
