,nome,dnasc,sexo,pelagem,meses informados,medidas
0,Bruma do Estrela Negra,23-10-2017,F,pampa de preta,1,97.0
1,Bruma do Estrela Negra,23-10-2017,F,pampa de preta,2,106.0
2,Bruma do Estrela Negra,23-10-2017,F,pampa de preta,3,111.0
3,Bruma do Estrela Negra,23-10-2017,F,pampa de preta,4,112.0
4,Bruma do Estrela Negra,23-10-2017,F,pampa de preta,5,115.0
5,Bruma do Estrela Negra,23-10-2017,F,pampa de preta,6,116.0
6,Bruma do Estrela Negra,23-10-2017,F,pampa de preta,7,119.0
7,Bruma do Estrela Negra,23-10-2017,F,pampa de preta,9,127.0
